size,op,orm,duration_ms_mean,duration_ms_std,energy_j_mean,energy_j_std,rows_mean,energy_per_row_mean,energy_per_row_std
small,create,dapper,4562.0,,16.024067999998806,,1000.0,0.016024067999998805,
small,create,efcore,4983.0,,36.551602999999886,,1000.0,0.036551602999999884,
small,create,nhib,338.0,,3.5131750000000466,,1000.0,0.0035131750000000467,
small,getbyid,dapper,513.0,,6.029037000000244,,0.0,,
small,getbyid,efcore,2106.0,,22.043706000000384,,0.0,,
small,getbyid,nhib,2896.0,,28.69084500000463,,0.0,,
small,getall,dapper,1673.0,,24.338072999998985,,0.0,,
small,getall,efcore,3020.0,,40.21309299999848,,300000.0,0.00013404364333332826,
small,getall,nhib,2479.0,,31.96067200000107,,300000.0,0.0001065355733333369,
small,update,dapper,4211.0,,16.784136999998736,,1000.0,0.016784136999998735,
small,update,efcore,2681.0,,27.879627999995137,,1000.0,0.027879627999995136,
small,update,nhib,421.0,,4.0099389999959385,,1000.0,0.004009938999995939,
small,delete,dapper,4118.0,,15.036888000002364,,1000.0,0.015036888000002364,
small,delete,efcore,2547.0,,26.47624999999971,,1000.0,0.02647624999999971,
small,delete,nhib,884.0,,8.319620000002033,,0.0,,
medium,create,dapper,2906.0,,14.675010999999358,,1000.0,0.014675010999999358,
medium,create,efcore,8560.0,,43.478525999998965,,1000.0,0.04347852599999896,
medium,create,nhib,364.0,,3.642813000005845,,1000.0,0.003642813000005845,
medium,getbyid,dapper,528.0,,5.905807999999524,,0.0,,
medium,getbyid,efcore,2157.0,,22.773867999996583,,0.0,,
medium,getbyid,nhib,3531.0,,37.25850999999966,,0.0,,
medium,getall,dapper,6581.0,,106.63900999999896,,0.0,,
medium,getall,efcore,7964.0,,124.37608499999988,,3000000.0,4.1458694999999956e-05,
medium,getall,nhib,8121.0,,118.57757799999672,,3000000.0,3.952585933333224e-05,
medium,update,dapper,4085.0,,18.359878000002936,,1000.0,0.018359878000002935,
medium,update,efcore,2911.0,,29.55363500000385,,1000.0,0.02955363500000385,
medium,update,nhib,997.0,,10.147374000000127,,1000.0,0.010147374000000127,
medium,delete,dapper,4126.0,,14.748130999993007,,1000.0,0.014748130999993007,
medium,delete,efcore,2488.0,,25.51287400000001,,1000.0,0.025512874000000012,
medium,delete,nhib,858.0,,7.989602999994531,,0.0,,
large,create,dapper,4001.0,,15.14345499999763,,1000.0,0.01514345499999763,
large,create,efcore,5180.0,,43.98755800000072,,1000.0,0.04398755800000072,
large,create,nhib,299.0,,2.697807999997167,,1000.0,0.002697807999997167,
large,getbyid,dapper,557.0,,6.269698000000062,,0.0,,
large,getbyid,efcore,2082.0,,22.281741999999213,,0.0,,
large,getbyid,nhib,3714.0,,38.89919300000474,,0.0,,
large,getall,dapper,42813.0,,678.8572710000008,,0.0,,
large,getall,efcore,49713.0,,753.4859859999997,,20000000.0,3.7674299299999985e-05,
large,getall,nhib,51840.0,,683.2791350000043,,20000000.0,3.4163956750000214e-05,
large,update,dapper,3674.0,,14.21706599999743,,1000.0,0.014217065999997431,
large,update,efcore,2902.0,,31.24143599999661,,1000.0,0.03124143599999661,
large,update,nhib,972.0,,9.617406999997913,,1000.0,0.009617406999997913,
large,delete,dapper,3207.0,,14.847800999996252,,1000.0,0.014847800999996252,
large,delete,efcore,2557.0,,27.34520600000542,,1000.0,0.02734520600000542,
large,delete,nhib,873.0,,8.028605000006792,,0.0,,
